Word,Phonetic,Meanings,Examples
short,ʃɔːt,"adjective - measuring a small distance from end to end. lasting or taking a small amount of time. relatively small in extent. (of a vowel) categorized as short with regard to quality and length (e.g. in standard British English the vowel /ʊ/ in good is short as distinct from the long vowel /uː/ in food ). (of a person) terse; uncivil. (of odds or a chance) reflecting or representing a high level of probability. (of pastry) containing a high proportion of fat to flour and therefore crumbly. adverb - (chiefly in sport) at, to, or over a relatively small distance. noun - a drink of spirits served in a small measure. a short film as opposed to a feature film. a short sound such as a short signal in Morse code or a short vowel or syllable. a short circuit. a person who sells short. a mixture of bran and coarse flour. verb - short-circuit or cause to short-circuit. sell (stocks or other securities or commodities) in advance of acquiring them, with the aim of making a profit when the price falls. ","short dark hair;visiting London for a short break;a short speech;null;he was often sharp and rather short with her;they have been backed at short odds to win thousands of pounds;null;you go deep and you go short;null;null;her call was two longs and a short;null;null;null;the electrical circuit had shorted out;the rule prevents sellers from shorting a stock unless the last trade resulted in a price increase;"
shorts,ʃɔːts,"noun - short trousers that reach only to the knees or thighs. ","cycling shorts;"

short,ʃɔːt,"adjective - measuring a small distance from end to end. lasting or taking a small amount of time. relatively small in extent. (of a vowel) categorized as short with regard to quality and length (e.g. in standard British English the vowel /ʊ/ in good is short as distinct from the long vowel /uː/ in food ). (of a person) terse; uncivil. (of odds or a chance) reflecting or representing a high level of probability. (of pastry) containing a high proportion of fat to flour and therefore crumbly. ","short dark hair;visiting London for a short break;a short speech;null;he was often sharp and rather short with her;they have been backed at short odds to win thousands of pounds;null;"

shortly,ˈʃɔːtli,"adverb - in a short time; soon. in a few words; briefly. ","the new database will shortly be available for consultation;they received a letter shortly outlining the proposals;"

shot,ʃɒt,"noun - the firing of a gun or cannon. a hit, stroke, or kick of the ball in sports such as football, tennis, or golf. a ball of stone or metal used as a missile shot from a large gun or cannon. a photograph. a small drink of spirits. the launch of a space rocket. ","Mulder killed him with a single shot;his partner pulled off a winning backhand shot;null;a group shot of all the family;he took a shot of whisky;a moon shot;"
shot,ʃɒt,"verb - past and past participle of shoot. adjective - (of coloured cloth) woven with a warp and weft of different colours, giving a contrasting effect when looked at from different angles. ruined or worn out. ","null;a dress of shot silk;a completely shot engine will put you out of the race;"
shot,ʃɒt,"noun - a bill or one's share of it, especially in a pub or bar. ","he had paid her shot;"
shoot,ʃuːt,"verb - kill or wound (a person or animal) with a bullet or arrow. move suddenly and rapidly in a particular direction. (in soccer, hockey, basketball, etc.) kick, hit, or throw the ball or puck in an attempt to score a goal. film or photograph (a scene, film, etc.). (of a plant or seed) send out buds or shoots; germinate. inject oneself or another person with (a narcotic drug). plane (the edge of a board) accurately. ","he was shot in the leg during an armed robbery;the car shot forward;Williams twice shot wide;she has just been commissioned to shoot a video;some years one or other plant fails to shoot;he shot dope into his arm;I shot the longer edge down on the planer;"

should,ʃʊd,"verb - used to indicate obligation, duty, or correctness, typically when criticizing someone's actions. used to indicate what is probable. (expressing the conditional mood) referring to a possible event or situation. used in a clause with �?that’ after a main clause describing feelings. used in a clause with �?that’ expressing purpose. (in the first person) expressing a polite request or acceptance. (in the first person) expressing a conjecture or hope. used to emphasize to a listener how striking an event is or was. ","he should have been careful;£348 m should be enough to buy him out;if you should change your mind, I'll be at the hotel;it is astonishing that we should find violence here;in order that training should be effective it must be planned systematically;I should like some more, if I may;he'll have a sore head, I should imagine;you should have seen Marge's face;"

shoulder,ˈʃəʊldə,"noun - the upper joint of each of a person's arms and the part of the body between this and the neck. a part of something resembling a shoulder in shape, position, or function. another term for hard shoulder. verb - put (something heavy) over one's shoulder or shoulders to carry. push (someone or something) out of one's way with one's shoulder. ","I was carrying a bag over my shoulder;the shoulder of a pulley;null;we shouldered our crippling backpacks and set off slowly up the hill;she shouldered him brusquely aside;"

shoulder,ˈʃəʊldə,"noun - the upper joint of each of a person's arms and the part of the body between this and the neck. a part of something resembling a shoulder in shape, position, or function. another term for hard shoulder. verb - put (something heavy) over one's shoulder or shoulders to carry. push (someone or something) out of one's way with one's shoulder. ","I was carrying a bag over my shoulder;the shoulder of a pulley;null;we shouldered our crippling backpacks and set off slowly up the hill;she shouldered him brusquely aside;"

shouldn't,ˈʃʊd(ə)nt,"contraction - should not. ","null;"

shout,ʃaʊt,"verb - (of a person) utter a loud cry, typically as an expression of a strong emotion. treat (someone) to (something, especially a drink). ","she shouted for joy;I'll shout you a beer;"

shout,ʃaʊt,"verb - (of a person) utter a loud cry, typically as an expression of a strong emotion. treat (someone) to (something, especially a drink). ","she shouted for joy;I'll shout you a beer;"

shout,ʃaʊt,"verb - (of a person) utter a loud cry, typically as an expression of a strong emotion. treat (someone) to (something, especially a drink). noun - a loud cry expressing a strong emotion or calling attention. one's turn to buy a round of drinks. ","she shouted for joy;I'll shout you a beer;his words were interrupted by warning shouts;�?Do you want another drink? My shout.’;"
